v8-version,4,4,63,30,0
code-creation,Stub,11,0x23d2c912ea0,220,"BinaryOpICStub(SHL:Int32*Smi->Int32)"
code-creation,Stub,11,0x23d2c912f80,220,"BinaryOpICStub(SHL:Int32*Smi->Smi)"
code-creation,Stub,11,0x23d2c913060,344,"BinaryOpICStub(SHL:Number*Smi->Smi)"
code-creation,Stub,11,0x23d2c9131c0,220,"BinaryOpICStub(SHL:Smi*Smi->Int32)"
code-creation,Stub,11,0x23d2c9132a0,220,"BinaryOpICStub(SHL:Smi*Smi->Smi)"
tick,0x7fcd18c90187,27597,0,0x0,4
code-creation,Stub,11,0x23d2c913380,248,"BinaryOpICStub(SHR:Int32*Smi->Smi)"
code-creation,Stub,11,0x23d2c913480,364,"BinaryOpICStub(SHR:Number*Smi->Int32)"
code-creation,Stub,11,0x23d2c913600,364,"BinaryOpICStub(SHR:Number*Smi->Smi)"
code-creation,Stub,11,0x23d2c913780,248,"BinaryOpICStub(SHR:Smi*Smi->Smi)"
code-creation,Stub,11,0x23d2c913880,232,"BinaryOpICStub(SUB:Int32*Int32->Int32)"
code-creation,Stub,11,0x23d2c913980,442,"BinaryOpICStub(SUB:Int32*Number->Number)"
code-creation,Stub,11,0x23d2c913b40,232,"BinaryOpICStub(SUB:Int32*Smi->Int32)"
tick,0x7fcd18c90187,28632,0,0x0,4
code-creation,Stub,11,0x23d2c913c40,442,"BinaryOpICStub(SUB:Number*Int32->Number)"
code-creation,Stub,11,0x23d2c913e00,466,"BinaryOpICStub(SUB:Number*Number->Number)"
code-creation,Stub,11,0x23d2c913fe0,442,"BinaryOpICStub(SUB:Number*Smi->Number)"
code-creation,Stub,11,0x23d2c9141a0,232,"BinaryOpICStub(SUB:Smi*Int32->Int32)"
code-creation,Stub,11,0x23d2c9142a0,442,"BinaryOpICStub(SUB:Smi*Number->Number)"
code-creation,Stub,11,0x23d2c914460,232,"BinaryOpICStub(SUB:Smi*Smi->Smi)"
code-creation,Stub,11,0x23d2c914560,284,"BinaryOpICStub(MOD:Smi*2->Smi)"
tick,0x7fcd18c90187,29674,0,0x0,4
code-creation,Stub,11,0x23d2c914680,284,"BinaryOpICStub(MOD:Smi*4->Smi)"
code-creation,Stub,11,0x23d2c9147a0,284,"BinaryOpICStub(MOD:Smi*8->Smi)"
code-creation,Stub,11,0x23d2c9148c0,284,"BinaryOpICStub(MOD:Smi*16->Smi)"
code-creation,Stub,11,0x23d2c9149e0,284,"BinaryOpICStub(MOD:Smi*32->Smi)"
code-creation,Stub,11,0x23d2c914b00,296,"BinaryOpICStub(MOD:Smi*2048->Smi)"
code-creation,Stub,2,0x23d2c914c40,2672,"RecordWriteStub"
tick,0xa00cb1,30705,0,0x0,4
code-creation,Stub,2,0x23d2c9156c0,360,"StoreFastElementStub"
code-creation,Stub,2,0x23d2c915840,2702,"RecordWriteStub"
code-creation,Stub,2,0x23d2c9162e0,188,"DoubleToIStub"
code-creation,Stub,2,0x23d2c9163a0,938,"StoreFastElementStub"
code-creation,Stub,2,0x23d2c916760,336,"StoreFastElementStub"
tick,0xba6b0d,31741,0,0x0,4
code-creation,Stub,2,0x23d2c9168c0,188,"DoubleToIStub"
code-creation,Stub,2,0x23d2c916980,942,"StoreFastElementStub"
code-creation,Stub,2,0x23d2c916d40,332,"StoreFastElementStub"
code-creation,Stub,2,0x23d2c916ea0,926,"StoreFastElementStub"
code-creation,Stub,2,0x23d2c917240,360,"StoreFastElementStub"
tick,0xd6eccf,32847,0,0x0,4
code-creation,Stub,2,0x23d2c9173c0,954,"StoreFastElementStub"
code-creation,Stub,2,0x23d2c917780,360,"StoreFastElementStub"
code-creation,Stub,2,0x23d2c917900,954,"StoreFastElementStub"
code-creation,Stub,2,0x23d2c917cc0,336,"StoreFastElementStub"
tick,0xb5fd0c,33917,0,0x0,4
code-creation,Stub,2,0x23d2c917e20,938,"StoreFastElementStub"
code-creation,Stub,2,0x23d2c9181e0,336,"StoreFastElementStub"
code-creation,Stub,2,0x23d2c918340,938,"StoreFastElementStub"
code-creation,Stub,2,0x23d2c918700,424,"TypeofStub"
tick,0x7fcd18c90187,34993,0,0x0,4
code-creation,Stub,2,0x23d2c9188c0,372,"JSEntryStub"
code-creation,Stub,2,0x23d2c918a40,372,"JSConstructEntryStub"
code-creation,Builtin,4,0x23d2c918bc0,112,"Illegal"
code-creation,Builtin,4,0x23d2c918c40,112,"EmptyFunction"
code-creation,Builtin,4,0x23d2c918cc0,112,"ArrayPush"
code-creation,Builtin,4,0x23d2c918d40,112,"ArrayPop"
code-creation,Builtin,4,0x23d2c918dc0,112,"ArrayShift"
code-creation,Builtin,4,0x23d2c918e40,112,"ArrayUnshift"
tick,0x7fcd18c90187,36062,0,0x0,4
code-creation,Builtin,4,0x23d2c918ec0,112,"ArraySlice"
code-creation,Builtin,4,0x23d2c918f40,112,"ArraySplice"
code-creation,Builtin,4,0x23d2c918fc0,112,"ArrayConcat"
code-creation,Builtin,4,0x23d2c919040,117,"HandleApiCall"
code-creation,Builtin,4,0x23d2c9190c0,117,"HandleApiCallConstruct"
code-creation,Builtin,4,0x23d2c919140,112,"HandleApiCallAsFunction"
code-creation,Builtin,4,0x23d2c9191c0,112,"HandleApiCallAsConstructor"
code-creation,Builtin,4,0x23d2c919240,112,"RestrictedFunctionPropertiesThrower"
code-creation,Builtin,4,0x23d2c9192c0,112,"RestrictedStrictArgumentsPropertiesThrower"
code-creation,Builtin,4,0x23d2c919340,347,"ArgumentsAdaptorTrampoline"
code-creation,Builtin,4,0x23d2c9194a0,183,"InOptimizationQueue"
code-creation,Builtin,4,0x23d2c919560,688,"JSConstructStubGeneric"
code-creation,Builtin,4,0x23d2c919820,266,"JSConstructStubForDerived"
tick,0x7fcd18c90187,37218,0,0x0,4
code-creation,Builtin,4,0x23d2c919940,570,"JSConstructStubApi"
code-creation,Builtin,4,0x23d2c919b80,260,"JSEntryTrampoline"
code-creation,Stub,2,0x23d2c919ca0,197,"CallConstructStub"
code-creation,Builtin,4,0x23d2c919d80,239,"JSConstructEntryTrampoline"
code-creation,Builtin,4,0x23d2c919e80,155,"CompileLazy"
code-creation,Builtin,4,0x23d2c919f20,167,"CompileOptimized"
code-creation,Builtin,4,0x23d2c919fe0,167,"CompileOptimizedConcurrent"
code-creation,Builtin,4,0x23d2c91a0a0,206,"NotifyDeoptimized"
code-creation,Builtin,4,0x23d2c91a180,216,"NotifySoftDeoptimized"
code-creation,Builtin,4,0x23d2c91a260,216,"NotifyLazyDeoptimized"
code-creation,Builtin,4,0x23d2c91a340,193,"NotifyStubFailure"
code-creation,Builtin,4,0x23d2c91a420,193,"NotifyStubFailureSaveDoubles"
tick,0xd8a430,38235,0,0x0,4
code-creation,Builtin,4,0x23d2c91a500,119,"LoadIC_Miss"
code-creation,Builtin,4,0x23d2c91a580,119,"KeyedLoadIC_Miss"
code-creation,Builtin,4,0x23d2c91a600,118,"StoreIC_Miss"
code-creation,Builtin,4,0x23d2c91a680,118,"KeyedStoreIC_Miss"
code-creation,Builtin,6,0x23d2c91a700,134,"LoadIC_Getter_ForDeopt"
code-creation,Builtin,7,0x23d2c91a7a0,119,"KeyedLoadIC_Initialize"
code-creation,Builtin,7,0x23d2c91a820,119,"KeyedLoadIC_PreMonomorphic"
code-creation,Stub,2,0x23d2c91a8a0,968,"NameDictionaryLookupStub"
code-creation,Builtin,7,0x23d2c91ac80,1031,"KeyedLoadIC_Megamorphic"
code-creation,Builtin,9,0x23d2c91b0a0,136,"StoreIC_Setter_ForDeopt"
code-creation,Builtin,10,0x23d2c91b140,118,"KeyedStoreIC_Initialize"
code-creation,Builtin,10,0x23d2c91b1c0,118,"KeyedStoreIC_PreMonomorphic"
code-creation,Stub,2,0x23d2c91b240,1822,"RecordWriteStub"
tick,0x7fcd18c90187,39415,0,0x0,4
code-creation,Stub,2,0x23d2c91b960,1804,"RecordWriteStub"
code-creation,Stub,2,0x23d2c91c080,1786,"RecordWriteStub"
code-creation,Stub,2,0x23d2c91c780,796,"RecordWriteStub"
code-creation,Stub,2,0x23d2c91caa0,1805,"RecordWriteStub"
code-creation,Builtin,10,0x23d2c91d1c0,3020,"KeyedStoreIC_Megamorphic"
code-creation,Builtin,10,0x23d2c91dda0,118,"KeyedStoreIC_Initialize_Strict"
code-creation,Builtin,10,0x23d2c91de20,118,"KeyedStoreIC_PreMonomorphic_Strict"
code-creation,Builtin,10,0x23d2c91dea0,3030,"KeyedStoreIC_Megamorphic_Strict"
code-creation,Stub,2,0x23d2c91ea80,1786,"RecordWriteStub"
code-creation,Builtin,10,0x23d2c91f180,404,"KeyedStoreIC_SloppyArguments"
tick,0x7fcd18c90187,40461,0,0x0,4
code-creation,Builtin,4,0x23d2c91f320,463,"FunctionCall"
code-creation,Builtin,4,0x23d2c91f500,479,"FunctionApply"
code-creation,Builtin,4,0x23d2c91f6e0,479,"ReflectApply"
code-creation,Stub,2,0x23d2c91f8c0,199,"CallConstructStub"
